identifier,title,date,creator,venue,url
ajc01558_grimble_grumble_2002-04-04,Grimble Grumble Live at Hideout 2002-04-04,4/4/02,Grimble Grumble,Hideout 2002-04-04,https://archive.org/details/ajc01558_grimble_grumble_2002-04-04
ajc01559_acollective2002-04-04.ajcproject,Animal Collective Live at Hideout on 2002-04-04,4/4/02,Animal Collective,Hideout,https://archive.org/details/ajc01559_acollective2002-04-04.ajcproject
ajc01560_sluts-of-trust-2004-03-24,Sluts Of Trust Live at Double Door 2004-03-24,3/24/04,Sluts Of Trust,Double Door,https://archive.org/details/ajc01560_sluts-of-trust-2004-03-24
ajc01561_malcolm-middleton-2004-03-24,Malcolm Middleton Live at Double Door 2004-03-24,3/24/04,Malcolm Middleton,Double Door,https://archive.org/details/ajc01561_malcolm-middleton-2004-03-24
ajc01562_sertes-2006-07-28,Sertes Live at Beat Kitchen 2006-07-28,7/28/06,Sertes,Beat Kitchen,https://archive.org/details/ajc01562_sertes-2006-07-28
ajc01563_submarine-races-2006-07-28,Submarine Races Live at Beat Kitchen 2006-07-28,7/28/06,Submarine Races,Beat Kitchen,https://archive.org/details/ajc01563_submarine-races-2006-07-28
ajc01564_the-elephant-6-orchestra-2008-10-21,The Elephant 6 Orchestra Live at Bottom Lounge 2008-10-21,10/21/08,The Elephant 6 Orchestra,Bottom Lounge,https://archive.org/details/ajc01564_the-elephant-6-orchestra-2008-10-21
ajc01566_thechislers1996-08-28,The Chislers Live at Lounge Ax 1996-08-28,8/28/96,The Chislers,Lounge Ax,https://archive.org/details/ajc01566_thechislers1996-08-28
ajc01567_mavis_piggott_1996-08-29,Mavis Piggott Live at Lounge Ax 1996-08-29,8/29/96,Mavis Piggott,Lounge Ax 1996-08-29,https://archive.org/details/ajc01567_mavis_piggott_1996-08-29
ajc01568_pipe1996-10-25,Pipe Live at Fireside Bowl 1996-10-25,10/25/96,Pipe,Fireside Bowl 1996-10-25,https://archive.org/details/ajc01568_pipe1996-10-25
ajc01569_minnow_1999-02-19,Minnow Live at Lounge Ax 1999-02-19,2/19/99,Minnow,Lounge Ax,https://archive.org/details/ajc01569_minnow_1999-02-19
ajc01570_we_raggazi_1999-02-19,We Ragazzi Live at Lounge Ax 1999-02-19,2/19/99,We Ragazzi,Lounge Ax,https://archive.org/details/ajc01570_we_raggazi_1999-02-19
ajc01571_pohgoh_1996-08-22,Pohgoh Live at Fireside Bowl 1996-08-22,8/22/96,Pohgoh,Fireside Bowl,https://archive.org/details/ajc01571_pohgoh_1996-08-22
ajc01572_caesura_1996-08-22,Caesura Live at Fireside Bowl 1996-08-22,8/22/96,Caesura,Fireside Bowl,https://archive.org/details/ajc01572_caesura_1996-08-22
ajc01573_twointheaisle1996-08-22,Two In The Aisle Live at Fireside Bowl 1996-08-22,8/22/96,Two In The Aisle,Fireside Bowl,https://archive.org/details/ajc01573_twointheaisle1996-08-22
